"02","336","General Lavalle",,
"21","007","Alumin&eacute;",,
"02","266","Exaltaci&oacute;n de la Cruz",,
"17","049","Gastre",,
"21","035","Confluencia",,
"02","511","Maip&uacute;",,
"04","140","San Justo",,
"02","798","Tapalqu&eacute;",,
"11","014","Angaco",,
"02","371","General San Mart&iacute;n",,
"07","063","San Pedro",,
"10","133","Rivadavia",,
"16","105","9 de Julio",,
"03","070","La Paz",,
"04","119","R&iacute;o Segundo",,
"10","077","La Caldera",,
"13","063","La Capital",,
"19","133","Realic&oacute;",,
"14","056","Copo",,
"02","581","Necochea",,
"02","651","Pu&aacute;n",,
"02","455","Las Flores",,
"10","056","Grl. Jos&eacute; de San Mart&iacute;n",,
"24","028","Ant&aacute;rtida Argentina",,
"09","056","Lavalle",,
"16","119","Presidencia de la Plaza",,
"04","112","R&iacute;o Seco",,
"11","098","Santa Luc&iacute;a",,
"06","049","Gualeguay",,
"11","056","J&aacute;chal",,
"14","014","Alberdi",,
"22","014","Avellaneda",,
"02","014","Adolfo Gonzales Chaves",,
"02","294","General Arenales",,
"02","595","Olavarr&iacute;a",,
"14","175","San Mart&iacute;n",,
"02","119","Brandsen",,
"11","091","San Mart&iacute;n",,
"04","161","Tercero Arriba",,
"14","084","Guasay&aacute;n",,
"06","021","Diamante",,
"02","351","General Pinto",,
"03","112","Valle Viejo",,
"17","098","Tehuelches",,
"10","140","Rosario de la Frontera",,
"14","147","R&iacute;o Hondo",,
"11","084","Rivadavia",,
"04","168","Totoral",,
"02","672","Rauch",,
"05","105","Mercedes",,
"02","638","Pilar",,
"16","098","Mayor Luis J. Fontana",,
"19","049","Chalileo",,
"10","161","Santa Victoria",,
"19","070","Guatrach&eacute;",,
"11","112","Ull&uacute;m",,
"20","014","Caingu&aacute;s",,
"02","140","Capit&aacute;n Sarmiento",,
"10","084","La Candelaria",,
"04","175","Tulumba",,
"13","133","Vera",,
"21","042","Chos Malal",,
"23","042","Magallanes",,
"04","014","Capital",,
"02","833","Tres Arroyos",,
"04","028","Cruz del Eje",,
"05","119","Paso de los Libres",,
"16","168","25 de Mayo",,
"21","112","Zapala ",,
"16","049","General Belgrano",,
"05","126","Saladas",,
"11","077","Rawson",,
"11","119","Valle F&eacute;rtil",,
"02","224","Chivilcoy",,
"10","035","Cerrillos ",,
"03","028","Antofagasta de la Sierra",,
"05","161","San Roque",,
"02","679","Rivadavia",,
"10","049","General G&uuml;emes",,
"13","028","Constituci&oacute;n",,
"02","721","Salliquel&oacute;",,
"05","084","Ituzaing&oacute;",,
"20","091","Ober&aacute;",,
"02","280","General Alvarado",,
"02","448","Laprida",,
"02","462","Leandro N. Alem",,
"07","105","Valle Grande",,
"14","140","Quebrachos",,
"05","021","Capital",,
"02","805","Tigre",,
"04","147","Santa Mar&iacute;a",,
"05","112","Monte Caseros",,
"02","134","Ca&ntilde;uelas",,
"19","035","Conhelo",,
"05","028","Concepci&oacute;n",,
"03","035","Bel&eacute;n",,
"02","007","Adolfo Alsina",,
"02","728","San Andr&eacute;s de Giles",,
"04","084","Presidente Roque S&aacute;enz Pe&ntilde;a",,
"03","014","Ancasti",,
"16","126","1&ordm; de Mayo",,
"02","399","Guamin&iacute;",,
"07","084","Susques",,
"11","021","Calingasta",,
"14","105","Loreto",,
"19","119","Quem&uacute; Quem&uacute;",,
"20","028","Capital",,
"14","063","Choya",,
"05","140","San Luis del Palmar",,
"19","091","Limay Mahuida",,
"05","063","General Paz",,
"20","070","Leandro N. Alem",,
"11","063","9 de Julio",,
"14","049","Capital",,
"20","042","Eldorado",,
"02","483","Lobos",,
"02","819","Tornquist",,
"02","091","Berazategui",,
"09","098","San Mart&iacute;n",,
"22","021","Bariloche",,
"04","098","R&iacute;o Cuarto",,
"14","021","Atamisqui",,
"02","308","General Guido",,
"02","756","San Isidro",,
