"02","756","010","01","Acassuso"
"09","049","050","06","El Pastal"
"02","763","050","01","Campos Salles"
"03","063","040","01","El Hueco"
"11","035","040","02","Los M&eacute;danos"
"04","021","310","01","Gui&ntilde;az&uacute; Norte"
"02","371","010","26","Villa San Andr&eacute;s"
"02","371","010","18","Villa Juan Mart&iacute;n de Pueyrred&oacute;n"
"02","371","010","03","Ciudad del Libertad General San Mart&iacute;n"
"02","270","010","01","Aeropuerto Internacional Ezeiza"
"02","357","110","01","Camet"
"09","007","010","08","8a. Secci&oacute;n"
"04","021","250","01","El Pueblito"
"02","441","030","16","Lisandro Olmos"
"13","021","290","01","Estaci&oacute;n Presidente Roca"
"10","028","020","02","Country Club La Almudena"
"02","840","010","07","Loma Hermosa"
"02","371","010","12","Villa General Jos&eacute; Tom&aacute;s Guido"
"03","105","120","01","Fiambal&aacute;"
"02","420","020","05","San Bernardo"
"08","042","010","03","La Puntilla"
"02","098","010","01","Barrio Banco Provincia"
"11","056","060","02","La Falda"
"04","147","190","02","Los Cedros"
"11","042","010","02","El Mogote"
"17","021","030","18","Comodoro Rivadavia"
"02","760","010","04","San Miguel"
"02","763","050","02","San Nicol&aacute;s de los Arroyos "
"02","056","010","02","Gr&uuml;nbein"
"02","490","010","01","Bandfield"
"03","091","140","05","San Jos&eacute; Villa"
"02","760","010","01","Bella Vista"
"15","014","100","02","Villa Recaste"
"02","518","050","01","La Baliza"
"11","077","010","02","Rawson"
"03","091","030","03","Medanitos"
"02","274","010","06","Villa Brown"
"12","056","100","03","El Chorrillo"
"02","274","010","02","Estanislao Severo Zeballos"
"09","049","050","03","El Algarrobal"
"02","515","010","05","Los Polvorines"
"10","056","220","04","Misi&oacute;n Lapacho I"
"02","408","010","02","Villa Santos Tesei"
"15","014","010","01","Alderetes"
"09","028","020","11","Rodeo de la Cruz"
"04","133","190","01","Alto Resbaloso - El Barrial"
"08","119","010","05","Cuip&aacute;n"
"13","021","290","02","Presidente Roca"
"15","014","080","02","La Florida"
"02","245","010","05","Villa Catela"
"02","270","010","06","Trist&aacute;n Su&aacute;rez"
"09","105","210","02","Las Paredes"
"02","028","010","07","Longchamps"
"04","007","210","01","Santa M&oacute;nica"
"04","021","250","02","Salsipuedes"
"02","434","010","03","Lan&uacute;s Oeste"
"09","049","050","01","Capdevila"
"09","049","050","10","La Cieneguita"
"02","371","010","09","Villa Coronel Jos&eacute; M. Zapiola"
"03","091","140","04","San Jos&eacute; Norte"
"02","805","010","06","General Pacheco"
"02","560","010","01","Cuartel V"
"02","270","010","05","La Uni&oacute;n"
"03","091","140","01","Casa de Piedra"
"02","217","010","02","Chascom&uacute;s Country Club"
"02","252","010","02","El Cazador"
"15","014","100","03","Villa Tercera"
"02","035","010","08","Villa Dom&iacute;nico"
"02","490","010","07","Villa Fiorito"
"02","648","010","01","Barrio Am&eacute;rica Unida"
"11","126","030","02","Villa Borjas"
"03","105","120","03","Pampa Blanca"
"10","056","140","02","Barrio El Jard&iacute;n de San Mart&iacute;n"
"02","441","030","02","Angel Etcheverry"
"09","105","060","02","Barrio Las Rosas"
"02","441","030","17","Los Hornos"
"09","063","090","01","Carrodilla"
"02","357","110","02","Estaci&oacute;n Camet"
"09","028","020","02","Buena Nueva"
"09","063","080","01","Las Vegas"
"09","063","080","04","Villa El Refugio"
"12","056","100","05","San Roque"
"02","245","010","01","Dique N&ordm; 1"
"04","014","020","01","Jard&iacute;n Arenales"
"02","518","060","05","Santa Clara del Mar"
"02","875","060","02","M&eacute;danos"
"02","638","040","01","Del Viso"
"07","014","070","02","Monterrico"
"11","007","020","01","Campo Afuera"
"11","021","010","01","Barreal"
"02","441","030","05","Barrio El Carmen (oeste)"
"02","371","010","10","Villa General Antonio J. de Sucre"
"02","028","010","09","Ministro Rivadavia"
"02","595","110","01","Sierras Bayas "
"17","021","030","11","Barrio Pr&oacute;spero Palazzo"
"15","063","020","01","Barrio Araujo"
"17","021","030","15","Barrio Sarmiento"
"15","014","010","03","Los Guti&eacute;rrez"
"02","763","040","05","Villa Hermosa"
"02","638","040","05","Manzanares"
"02","274","010","07","Villa San Luis"
"02","749","010","01","San Fernando"
"22","042","330","05","Barrio Tres Luces"
"02","274","010","08","Villa Santa Rosa"
"02","539","010","01","Libertad"
"09","028","020","03","Capilla del Rosario"
"02","371","010","13","Villa General Juan G. Las Heras"
"02","408","010","01","Hurlingham"
"02","861","010","02","Florida"
"11","098","020","02","Colonia Guti&eacute;rrez"
"02","638","040","06","Manzone"
"02","760","010","02","Campo de Mayo"
"02","778","020","02","San Vicente"
"09","063","090","04","La Puntilla"
"11","007","020","04","Villa General San Mart&iacute;n"
"17","021","030","06","Barrio Gasoducto"
"03","063","040","05","San Antonio"
"09","028","020","05","El Sauce"
"17","021","030","13","Barrio Rodr&iacute;guez Pe&ntilde;a"
"02","805","010","04","Don Torcuato Oeste"
"13","063","190","01","Sauce Viejo"
"02","098","010","11","Villa Progreso"
"02","560","010","02","Francisco &Aacute;lvarez"
"02","035","010","06","Pi&ntilde;eyro"
"02","058","010","01","Bernal"
"07","112","080","01","San Jos&eacute;"
"06","015","060","05","Villa Zorraqu&iacute;n"
"02","568","010","05","Villa Sarmiento"
"03","091","110","02","Las Mojarras"
"09","007","010","05","5a. Secci&oacute;n"
"02","028","010","01","Adrogu&eacute;"
"02","518","060","06","Santa Elena"
"02","028","010","03","Claypole"
"08","098","010","01","Alto Jag&uuml;&eacute;"
"02","252","010","01","Bel&eacute;n de Escobar"
"02","412","010","02","Jos&eacute; C. Paz"
"02","441","030","19","Ringuelet"
"15","014","100","01","Ex Ingenio Los Ralos"
"02","441","030","14","La Cumbre"
"02","371","010","14","Villa Godoy Cruz"
"02","539","010","03","Merlo"
"02","861","010","06","Olivos"
"07","014","010","02","Fleming"
"10","056","140","03","Misi&oacute;n El Cruce"
"02","427","010","09","Ramos Mej&iacute;a"
"02","427","010","02","Ciudad Evita"
"11","070","040","02","Villa Aberastain"
"02","840","010","03","Ciudad Jard&iacute;n Lomas del Palomar"
"03","112","040","05","Santa Rosa"
"08","119","010","07","Los Robles"
"02","861","010","05","Munro"
"11","042","010","03","Villa Paula Albarrac&iacute;n"
"07","021","070","03","Yala"
"02","441","030","22","Transradio"
"02","056","010","03","Ingeniero White"
"02","270","010","02","Canning"
"09","007","010","09","9a. Secci&oacute;n"
"04","021","150","01","Dumesnil"
"02","648","010","02","Guernica"
"09","028","020","08","Las Ca&ntilde;as"
"09","007","010","03","3a. Secci&oacute;n"
"06","021","080","02","Strobel"
"06","021","150","02","Villa Libertador San Mart&iacute;n"
"09","021","010","04","Presidente Sarmiento"
"02","638","040","10","Roberto de Vicenzo"
"03","112","040","06","Sumalao"
"02","434","010","06","Valent&iacute;n Alsina"
"02","441","030","13","Jos&eacute; Melchor Romero"
"06","015","060","03","Las Tejas"
"09","063","060","04","Los Manantiales"
"09","105","060","03","Barrio Primavera"
